,요양기관명_x,주소,병원홈페이지,전화번호,좌표(X),좌표(Y)
53,가톨릭대학교 은평성모병원,"서울특별시 은평구 통일로 1021, (진관동)",http://www.cmcep.or.kr/,02-1811-7755,126.9161912,37.6334945
54,가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",http://www.cmcbucheon.or.kr,032-1577-0675,126.7924167,37.4871165
55,가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",http://www.cmcujb.or.kr/,1661-7500,127.0777625,37.7587045
56,가톨릭대학교인천성모병원,"인천광역시 부평구 동수로 56, (부평동)",http://www.cmcism.or.kr/,032-1544-9004,126.7248987,37.4848309
57,가톨릭정신건강의학과의원,"제주특별자치도 제주시 도령로 1, (노형동)",,064-746-7355,126.4793043,33.4868039
58,가화한방병원,"서울특별시 도봉구 도당로 51, (방학동)",,02-955-1772,127.0343076,37.66281
59,가회면보건지소,"경상남도 합천군 가회면 황매산로 58-12, (가회면 보건지소)",,055-930-3784,128.0344449,35.4367082
60,갈산의원,"충청남도 홍성군 갈산면 상촌로9번길 2-1, (갈산면)",,041-633-8998,126.5483835,36.603234
61,감일든든한내과의원,"경기도 하남시 감일백제로 105, 301~303호 (감이동)",,02-485-0075,127.161231,37.5046789
62,강남내과의원,"강원특별자치도 춘천시 춘천로 68, 3,4층 (효자동)",,033-242-8885,127.7250159,37.8702921
63,강남리슬림의원,"서울특별시 서초구 강남대로 435, 주류성빌딩 14층 (서초동)",http://reslim.co.kr,02-536-3962,127.0255738,37.5011826
64,강남바른내과의원,"서울특별시 강남구 선릉로 324, SH타워 4층 (대치동)",,02-6232-7500,127.0520964,37.4985271
65,강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",http://www.knmc.or.kr,031-300-0114,127.1115072,37.2737515
66,강남성모내과의원,"서울특별시 동작구 동작대로 89, 골든시네마타워 6층 602-1호 (사당동)",,02-581-7582,126.9816553,37.4846358
67,강남센트럴요양병원,"서울특별시 송파구 송이로 156, 태정타워 (가락동)",,02-3411-2360,127.1246503,37.4930599
68,강남수내과의원,"경기도 안산시 상록구 석호로 288, (본오동)",,031-406-7585,126.86254,37.2933805
69,강남숲정신건강의학과의원,"서울특별시 강남구 논현로85길 7, 2층 (역삼동)",,,127.0368362,37.4989891
70,강남스마일의원,"서울특별시 강남구 선릉로 309, SJ빌딩 4층 (역삼동)",,02-501-7533,127.0521782,37.4971888
71,강남엔도내과의원,"서울특별시 강남구 역삼로 406, 2층 201호 (대치동)",,02-566-6004,127.0516616,37.5006133
72,강남연세정신건강의학과의원,"서울특별시 강남구 테헤란로 109, 강남제일빌딩 3층 (역삼동)",,02-566-6789,127.0290056,37.4988358
73,강남연정신건강의학과의원,"서울특별시 강남구 학동로 338, 101호 (논현동, 강남파라곤)",http://www.yeonclinic.co.kr,0507-1325-5572,127.0402809,37.5165899
74,강남의원,"경기도 부천시 오정구 소사로 713, 6층 602호 (원종동)",,032-675-6500,126.8045934,37.5196572
75,강남정신건강의학과의원,"대구광역시 북구 신암로 111, 강남메디컬타워 3층 303호 (대현동)",,053-939-0675,128.6112808,35.8807575
76,강남정신건강의학과의원,"서울특별시 서초구 강남대로 341, 5층 (서초동)",http://blog.naver.com/gangnam0509,02-555-0710,127.0293874,37.4932705
77,강남정신과의원,"서울특별시 강동구 천호대로 997, (천호동)",,02-482-3500,127.1233121,37.5393463
78,강남푸른정신건강의학과의원,"서울특별시 서초구 강남대로 345, 삼양빌딩 5층 501호 (서초동)",,02-523-7008,127.0291679,37.4937403
79,강남하늘정신건강의학과의원,"서울특별시 강남구 봉은사로 105, 동양빌딩 1동 501호 (논현동)",,0507-1379-1330,127.0250571,37.5049634
80,강남하트스캔의원,"서울특별시 강남구 테헤란로114길 38, 동일타워 지하1층 (대치동)",http://www.heartscan.co.kr/,564-3070,127.0669929,37.5071243
81,강내과의원,"경기도 남양주시 와부읍 덕소로 214, (와부읍)",,031-521-7577,127.2198089,37.5792733
82,강동경희대학교의대병원,"서울특별시 강동구 동남로 892, (상일동)",http://www.khnmc.or.kr,02-440-7114,127.1576732,37.5535361
83,강동김내과의원,"서울특별시 강동구 풍성로 178, (성내동)",,02-479-0075,127.1314184,37.5300546
84,강동본터치정형외과의원,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 304~310호,407~410호 (명일동)",,02-442-0087,127.1546266,37.5546669
85,강동성모요양병원,"서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)",,02-488-0020,127.1271889,37.5434839
86,강동성모이비인후과의원,"서울특별시 강동구 양재대로 1625, 숨결TOWER 501호 (천호동)",,02-6953-7591,127.1435166,37.5505838
87,강동스마일요양병원,"경기도 하남시 미사강변대로54번길 70, 산우빌딩 지3, 지1, 1층일부, 2~5층호 (풍산동)",,031-794-9939,127.1894676,37.5558132
88,강동연세내과의원,"서울특별시 강동구 올림픽로 782, 3층 (암사동, 501타워)",,02-3426-7575,127.128145,37.5508761
89,강동우성의원,"서울특별시 강남구 압구정로 162, 베네하임시티 2층 205호,206호호 (신사동)",,548-7900,127.0274689,37.5263327
90,강동우정신건강의학과의원,"경기도 성남시 분당구 성남대로 345, 정자역 프라자빌딩 506호 (정자동)",,712-0506,127.1077021,37.3669303
91,강동정신건강의학과의원,"서울특별시 강동구 양재대로 1459, (길동)",http://www.gdclinic.co.kr,02-487-6220,127.1390863,37.536162
92,강동한내과의원,"서울특별시 강동구 성안로 156, 7층 (길동, 우주빌딩)",,02-488-0878,127.1354283,37.5368812
93,강릉아산병원,"강원특별자치도 강릉시 사천면 방동길 38, (사천면)",http://www.gnah.co.kr,033-610-3114,128.8578411,37.8184325
94,강릉율곡병원,"강원특별자치도 강릉시 동해대로3304번길 11, (난곡동)",,033-655-1133,128.8740332,37.7864983
95,강병구정신건강의학과의원,"부산광역시 동래구 충렬대로 132, (온천동)",,051-504-3171,129.0746888,35.2055637
96,강봉선신경정신과의원,"강원특별자치도 원주시 서원대로 383, 3층 401호 (개운동, 한신프라자)",,033-744-3884,127.9486022,37.3319866
97,강북삼성병원,"서울특별시 종로구 새문안로 29, (평동)",http://www.kbsmc.co.kr,02-2001-2001,126.96775,37.5684083
98,강서제일의원,"서울특별시 강서구 금낭화로 80, (방화동)",,02-2664-3833,126.8117062,37.5725978
99,강서필병원,"서울특별시 강서구 강서로17길 24, (화곡동)",,02-2608-8855,126.8443479,37.5330123
100,강신경정신과의원,"서울특별시 관악구 신림로 340, 르네상스 복합쇼핑몰 13층 1304호 (신림동)",,02-871-7121,126.930118,37.4847794
101,강신구가정의학과의원,"서울특별시 동대문구 한천로58길 75-13, 3층 (이문동)",,02-966-7511,127.0694316,37.6003362
102,강신삼신경정신과의원,"서울특별시 동대문구 홍릉로 5, (청량리동)",,02-969-9491,127.0447366,37.5808179
103,강앤정신경과신경외과의원,"대구광역시 수성구 달구벌대로 3206, 5층 (신매동, 창성빌딩)",,053-795-8575,128.7073381,35.8397449
104,강원대학교병원,"강원도 춘천시 백령로 156, (효자동)",http://www.knuh.or.kr/main/main.asp,033-258-2000,127.744891,37.8751611
105,강원특별자치도속초의료원,"강원특별자치도 속초시 영랑호반길 3, (영랑동)",http://www.sokchomc.co.kr,033-630-6000,128.5892485,38.2164607
106,강원특별자치도영월의료원,"강원특별자치도 영월군 영월읍 중앙1로 59, (영월읍)",http://www.youngwol.org/,033-370-9149,128.4652388,37.1864525
107,강원특별자치도원주의료원,"강원특별자치도 원주시 서원대로 387,  (개운동)",http://www.kwmc.or.kr,033-760-4500,127.949225,37.332608
108,강은혜산부인과의원,"대구광역시 서구 평리로 288, (내당동)",,053-573-5788,128.5549629,35.8630572
109,강정신건강의학과의원,"대구광역시 중구 달구벌대로 2094, 8층 (남산동)",,053-253-2882,128.5926005,35.8652494
110,강정신건강의학과의원,"부산광역시 해운대구 양운로 82, 801호 (좌동, 화인크리닉)",,051-701-2772,129.1755732,35.1704651
111,강정신건강의학과의원,"부산광역시 부산진구 동평로 422, 6층 (양정동)",,051-717-3886,129.070642,35.1728712
112,강지윤정신건강의학과의원,"경기도 수원시 영통구 봉영로 1612, 419호호 (영통동, 보보스프라자)",http://www.i-clinic.co.kr/,031-202-7925,127.0750136,37.2544858
113,강진 가정의학과의원,"전북특별자치도 임실군 강진면 호국로 13, (강진면)",,063-642-7582,127.1607564,35.5299387
114,강진이비인후과의원,"전라남도 강진군 강진읍 영랑로 36, (강진읍)",,061-433-9133,126.7683425,34.6388517
115,강철중정신건강의학과의원,"부산광역시 서구 구덕로 109, 15동 11층 1101호 (충무동1가)",,051-711-0275,129.0241404,35.0961904
116,강혜영정신건강의학과의원,"경기도 용인시 기흥구 동백중앙로 265, (중동, 더엠빌딩 304호 일부)",,031-286-7705,127.1526482,37.2763622
117,강호준신경외과의원,"경상북도 포항시 북구 새천년대로 1051, 3층 (창포동)",,054-252-8275,129.3706398,36.0626878
118,같은마음정신건강의학과의원,"경기도 남양주시 다산중앙로123번길 22-80, 3층 301(일부),302호 (다산동)",,031-555-7179,127.1507266,37.6248062
119,같은마음정신건강의학과의원,"서울특별시 영등포구 영중로2길 1, 대선빌딩 12층 (영등포동3가)",,02-2677-7582,126.9068057,37.5168876
120,같은마음정신건강의학과의원,"서울특별시 강북구 도봉로 324, 글로리타워 (번동)",,02-903-7557,127.0248586,37.6367983
121,개성공업지구의원,"경기도 파주시 후곡로 13, (금촌동)",,031-820-3402,126.7741632,37.756158
122,개운정신건강의학과의원,"서울특별시 서초구 동작대로 114, 5층 (방배동, 유문빌딩)",,02-534-5568,126.9827042,37.4868002
123,개정정신건강의학과의원,"전북특별자치도 군산시 번영로 312, (사정동)",,063-452-0005,126.7514963,35.9628846
124,개포숲정신건강의학과의원,"서울특별시 강남구 언주로7길 6, 207,208,212호 (개포동, 개포자이르네)",,02-6180-0500,127.055481,37.4785583
125,거금의원,"전라남도 고흥군 금산면 거금중앙길 73-1, (금산면)",,061-843-8278,127.1241018,34.4587127
126,거북이정신건강의학과의원,"부산광역시 수영구 수영로 693, BNK 수영타워 9층 901호 (수영동)",,051-957-0001,129.1154764,35.1679024
127,거제무릅어께정형외과의원,"경상남도 거제시 옥포대첩로 55, 2~3층 (옥포동)",,055-950-3037,128.6935114,34.8942942
128,거제정신건강의학과의원,"경상남도 거제시 고현로 88, 202호 (고현동)",,055-635-7475,128.6225244,34.8861293
129,건강드림내과영상의학과의원,"경기도 군포시 산본천로 56, 센트로 601 오피스텔 301,308호 (산본동)",www.healthdream75.com,031-340-7897,126.9299949,37.3604095
130,건강의집 의원,"서울특별시 강북구 오현로31길 85-6, 1층 (번동)",,02-982-3391,127.0362354,37.6315193
131,건강한 가정의학과의원,"서울특별시 강서구 곰달래로25길 33, 2,3층 (화곡동)",,02-2696-7511,126.8488322,37.5321729
132,건강한내과의원,"서울특별시 송파구 충민로2길 24, (장지동, 리더스플라자 401호)",,02-424-2842,127.1272823,37.4776424
133,건강한한림연합내과의원,"제주특별자치도 제주시 한림읍 한림중앙로 71, 2층",,064-900-1017,126.2666865,33.4087316
134,건국대학교 충주병원,"충청북도 충주시 국원대로 82-0, 건국대학교충주병원",http://www.kuh.co.kr,043-840-8200,127.9288169,36.9789801
135,건국대학교병원,"서울특별시 광진구 능동로 120-1, (화양동)",http://www.kuh.ac.kr,1588-1533,127.0718276,37.5403764
136,건대하늘정신건강의학과의원,"서울특별시 광진구 아차산로 213, 웅진빌딩 4층 2,4호 (화양동)",,02-463-1331,127.0672043,37.5413798
137,검암우리손내과의원,"인천광역시 서구 승학로 498, 서해프라자 301~304호 (검암동)",,032-561-7075,126.6749685,37.5651728
138,경기도립노인전문남양주병원,"경기도 남양주시 수동면 외방로172번길 50, (수동면)",www.gngh.or.kr/,031-590-5000,127.3093065,37.7383995
139,경기도립노인전문용인병원,"경기도 용인시 기흥구 중부대로 940, (상하동)",,031-288-0400,127.1555927,37.2504431
140,경기도립정신병원,"경기도 용인시 기흥구 중부대로 940, 경기도립정신병원 (상하동)",,031-300-6200,127.1555927,37.2504431
141,경기도의료원 수원병원,"경기도 수원시 장안구 수성로245번길 69, (정자동)",https://www.medical.or.kr/suwon/index.do,031-888-0114,126.9963375,37.2918917
142,경기도의료원의정부병원,"경기도 의정부시 흥선로 142, (의정부동)",http://www.medical.or.kr/_uj_gpmc,031-828-5000,127.0425004,37.741161
143,경기정신건강의학과의원,"경기도 수원시 장안구 팔달로 211, (영화동)",http://medihelp.co.kr,031-247-1135,127.0089297,37.2864985
144,경대마음정신건강의학과의원,"대구광역시 남구 월배로 474, 2층 (대명동)",,053-621-6300,128.556279,35.8352749
145,경대속연합의원,"대구광역시 북구 한강로4길 9, 3층 (사수동)",,053-327-0119,128.5145482,35.8960899
146,경대숨이비인후과의원,"대구광역시 북구 팔거천동로 210, 2층 203호~204호 (동천동)",,323-8575,128.5584531,35.942695
147,경대에스비뇨의학과의원,"대구광역시 북구 팔거천동로 223, 수정빌딩 4층 401,403호 (동천동)",,053-216-0119,128.5579324,35.9439682
148,경대연합김봉수속내과의원,"대구광역시 수성구 지범로 183, 시티월드 2층 203호 (지산동)",,053-782-2323,128.6396888,35.8215469
149,경대연합시원한속내과의원,"대구광역시 동구 경안로 791, 2층 (각산동)",,053-961-5400,128.713635,35.8728206
150,경대연합연경속내과의원,"대구광역시 동구 동화천로 390, GH메디컬타워 2층 203,204호 (지묘동)",,053-983-5300,128.6301991,35.9427829
151,경대연합정신건강의학과의원,"대구광역시 남구 월배로 468, 2층 (대명동, 한영유니죤빌딩)",,053-621-0077,128.5559907,35.8346017
152,경대제이정신건강의학과의원,"대구광역시 달서구 월배로 219, 701호 (상인동, CENTRO TOWER)",,053-633-6680,128.5370929,35.819106
153,경북대학교병원,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",http://knumc.knu.ac.kr,053-200-5114,128.604703,35.8662525
154,경북대학교부속의원,"대구광역시 북구 대학로 80, (산격동, 복지관 3층)",,053-950-8197,128.6121117,35.8905477
155,경산정신과의원,"경상북도 경산시 중앙로 69, (중방동)",,053-815-9933,128.7346625,35.82295
156,경상국립대학교병원,"경상남도 진주시 강남로 79, (칠암동)",http://www.gnuh.co.kr/,055-750-8000,128.0964924,35.1759944
157,경상남도마산의료원,"경상남도 창원시 마산합포구 3·15대로 231, (중앙동3가)",http://www.mmc.or.kr,055-249-1000,128.5655967,35.1992371
158,경상북도김천의료원,"경상북도 김천시 모암길 24,  (모암동)",http://www.gcmc.or.kr,054-432-8901,128.1264391,36.1227232
159,경상북도립안동노인전문요양병원,"경상북도 안동시 남후면 남일로 1463, (남후면)",http://www.andongyuri.co.kr,054-851-6000,128.6890979,36.5229246
160,경상북도안동의료원,"경상북도 안동시 태사2길 55,  (북문동)",http://amc.or.kr,054-850-6000,128.7321116,36.5682206
161,경상북도포항의료원,"경상북도 포항시 북구 용흥로 36,  (용흥동)",http://www.pmc.or.kr,054-247-0551,129.3549409,36.0348814
162,경주성모안과의원,"경상북도 경주시 원화로 293, 성모클리닉빌딩 (성동동)",http://www.sungmolasik.com/,054-772-9922,129.2169822,35.846824
163,경주정신건강의학과의원,"경상북도 경주시 봉황로51번길 27, 5층 (성건동)",,054-624-0505,129.2072413,35.844351
164,경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",http://www.nph.go.kr,02-3400-1114,127.1235089,37.4963836
165,경희궁삼성정신건강의학과의원,"서울특별시 종로구 송월길 99, 2207호 (홍파동, 경희궁자이 2단지)",,02-737-5577,126.9638824,37.5708754
166,경희늘푸른노인전문병원,"서울특별시 도봉구 시루봉로 137, (방학동)",http://evergreengh.com/,02-903-9920,127.0273968,37.6631956
167,경희닥터스의원,"경기도 안양시 동안구 관악대로 103, 103에비뉴 406호 (비산동)",,031-447-9909,126.9354443,37.3991502
168,경희대학교병원,"서울특별시 동대문구 경희대로 23, (회기동)",http://www.khuh.or.kr/,02-958-8114,127.051852,37.5941195
169,경희임내과의원,"서울특별시 동대문구 홍릉로 28, 성일빌딩 1,5층 (청량리동)",,02-960-1080,127.0446981,37.5828296
170,경희채움정신건강의학과의원,"서울특별시 동대문구 이문로 37, 2층 203호 (회기동, 회기역 한일베라체캠퍼스)",http://kh-chaeum.com,02-968-1070,127.0561285,37.5908164
171,경희큰나무의원,"서울특별시 강동구 올림픽로98길 57, 2층 (암사동)",,02-470-8080,127.1299424,37.5495637
172,계명대학교대구동산병원,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",,053-250-8114,128.5831323,35.8694728
173,계명대학교동산병원,"대구광역시 달서구 달구벌대로 1035, (신당동)",http://www.dsmc.or.kr/,1577-6622,128.4801315,35.8538856
174,고덕서울숲정신건강의학과의원,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 5층 513,514호 (고덕동)",,031-662-7000,127.0442098,37.0477733
175,고덕성심소아청소년과의원,"서울특별시 강동구 고덕로 380, 고덕아르테온아파트(상가2동) 2층 202호 (상일동)",,02-6416-6231,127.1681333,37.5564806
176,고덕편한내과의원,"서울특별시 강동구 고덕로 391, 4층 (고덕동)",,02-441-7333,127.1689885,37.5572185
177,고려가정의학과의원,"인천광역시 연수구 청학로 5, 3층 (청학동, 행복빌딩)",,032-834-2475,126.6632608,37.4275632
178,고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",http://guro.kumc.or.kr/main/index.do,02-2626-1114,126.8848701,37.492052
179,고려대학교의과대학부속안산병원,"경기도 안산시 단원구 적금로 123, (고잔동)",http://ansan.kumc.or.kr/main/index.do,031-1577-7516,126.8249033,37.3185144
180,고려마취통증의학과의원,"전북특별자치도 전주시 덕진구 백제대로 686, (인후동2가)",,063-285-8875,127.1442301,35.8437749
181,고려숲정신건강의학과의원,"서울특별시 노원구 동일로192길 74, 5층 502호 (공릉동, 우은빌딩)",,02-977-7575,127.0771328,37.6270229
182,고려신경정신과의원,"대전광역시 중구 대종로 504, 2층 (은행동)",,042-254-6311,127.4254905,36.3293274
183,고려영상의원,"경기도 고양시 덕양구 중앙로 554, 희성프라자 603호 (행신동)",,1661-1737,126.8358968,37.6237134
184,고려의원,"제주특별자치도 제주시 구좌읍 세화10길 1, 2층",,064-784-7002,126.8588018,33.5208421
185,고려정신건강의학과의원,"경기도 광명시 철산로 12, 3층 304호 (철산동, 로데오빌딩)",,02-2617-7575,126.867575,37.4755506
186,고려제일정신과의원,"서울특별시 구로구 구로동로 240, 세일빌딩 2층 (구로동)",http://www.mindhealth.co.kr/,02-859-4469,126.8827321,37.4999929
187,고려튼튼마취통증의학과의원,"서울특별시 관악구 인헌6길 15, 2층 (봉천동)",,02-888-8275,126.9659205,37.4737848
188,고려휴정신건강의학과의원,"경기도 성남시 분당구 성남대로 912, 분당BYC빌딩 301호 (야탑동)",,604-5500,127.1292477,37.4109685
189,고려힐링정신건강의학과의원,"경기도 화성시 봉담읍 동화길 85, 307-308호",,031-302-8998,126.9583456,37.2169268
190,고려힐링정신건강의학과의원,"서울특별시 서대문구 신촌로35길 10, 212호 (북아현동, e편한세상신촌 4단지)",,02-6354-8275,126.9558605,37.5586219
191,고석만정신건강의학과의원,"강원특별자치도 원주시 능라동길 59, (무실동, 정한프라자 509호)",,033-744-0223,127.9308182,37.3344196
192,고성성심병원,"경상남도 고성군 회화면 남해안대로 3963-21, (회화면)",,055-673-8511,128.3724194,35.0808378
193,고신경정신과의원,"제주특별자치도 제주시 서광로 203, (삼도일동)",,722-3185,126.5181309,33.5001831
194,고신대학교복음병원,"부산광역시 서구 감천로 262, (암남동)",http://www.kosinmed.or.kr/,990-6114,129.0139595,35.0809636
195,고양메디컬의원,"경기도 고양시 일산동구 고봉로 795, 2층 (설문동)",,031-819-7500,126.7951554,37.7259295
196,고양정신병원,"경기도 고양시 덕양구 통일로1102번길 46, (내유동)",,031-969-0885,126.8545927,37.7114709
197,고양휴메디병원,"경기도 고양시 덕양구 원흥3로 6-17, 3층~7층 (원흥동)",,031-968-2020,126.8759284,37.6477459
198,고요한정신건강의학과의원,"경상남도 창원시 성산구 상남로 126, 207호 (상남동)",,055-289-7555,128.6836462,35.2240773
199,고운마음의원,"대전광역시 중구 중앙로 125-1, 2층 (선화동)",,042-226-4733,127.4237836,36.3281102
